Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,31,0,10,9.996693580403864,5.098458001157269,17.71404198370874,1190.0,1.0881102573290398,0.0,10,11,12,13,15,17,18,18,18,18,18
GET,GET /api/exam-sheets,21,0,8,9.294680619080152,3.9749169955030084,15.733208012534305,1841.2380952380952,0.7371069485132205,0.0,8,11,13,13,13,14,16,16,16,16,16
GET,GET /api/exam-sheets (progress),20,0,12,15.885879247798584,5.571791989495978,78.26991699403152,1933.2,0.7020066176316385,0.0,12,15,17,19,28,78,78,78,78,78,78
GET,GET /api/exam-sheets (setup),20,0,6,7.522577099734917,2.648875000886619,17.874541983474046,1365.2,0.7020066176316385,0.0,6,8,9,10,16,18,18,18,18,18,18
GET,GET /api/exams,22,0,11,12.622138366251336,4.530707985395566,36.23608301859349,1068.0,0.7722072793948024,0.0,11,14,14,14,18,30,36,36,36,36,36
GET,GET /api/exams (setup),20,0,14,24.10238955053501,5.396042019128799,96.6211250051856,1068.0,0.7020066176316385,0.0,14,15,17,49,96,97,97,97,97,97,97
GET,GET /api/exams/{id},29,0,9,14.808521553841901,3.0729589925613254,77.36274998751469,267.9655172413793,1.017909595565876,0.0,9,11,11,13,50,77,77,77,77,77,77
GET,GET /api/final-results,8,0,12,22.41083324770443,5.001082987291738,66.90099998377264,1134.0,0.2808026470526554,0.0,14,31,33,33,67,67,67,67,67,67,67
GET,GET /api/questions,34,0,13,12.877267116838244,5.6961249792948365,28.0085000267718,6410.85294117647,1.1934112499737854,0.0,13,14,15,16,18,21,28,28,28,28,28
GET,GET /api/questions (setup),20,0,9,7.714001950807869,3.4703330020420253,10.924500005785376,6055.95,0.7020066176316385,0.0,9,10,10,10,11,11,11,11,11,11,11
GET,GET /api/questions (switch),7,0,10,9.911750002564597,6.0736660088878125,12.869541998952627,5740.285714285715,0.24570231617107346,0.0,10,11,13,13,13,13,13,13,13,13,13
GET,GET /api/student-responses,9,0,18,17.687263555773015,11.023291008314118,25.743166013853624,20126.444444444445,0.31590297793423733,0.0,18,19,19,22,26,26,26,26,26,26,26
GET,GET /api/student-responses (load sheet),32,0,15,19.860279937347514,8.592041005613282,74.28083301056176,20129.625,1.1232105882106216,0.0,15,22,26,27,31,40,74,74,74,74,74
GET,GET /api/students,14,0,13,14.912648712717262,7.331250002607703,24.813875003019348,13140.0,0.49140463234214693,0.0,16,18,18,21,21,25,25,25,25,25,25
POST,POST /api/authenticate,20,0,110,119.13970629830146,97.13483302039094,181.32870801491663,655.0,0.7020066176316385,0.0,110,110,110,170,170,180,180,180,180,180,180
PUT,PUT /api/student-responses (grade),19,0,19,20.995469316595088,8.737041003769264,54.80895799701102,396.4736842105263,0.6669062867500566,0.0,19,23,24,26,34,55,55,55,55,55,55
,Aggregated,326,0,12,20.823350837479197,2.648875000886619,181.32870801491663,4945.926380368098,11.442707867395708,0.0,12,15,17,19,36,99,110,170,180,180,180
