Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,919,0,6,6.143048281694729,3.898821996699553,28.99783799512079,883.0,3.073553437751242,0.0,6,6,7,7,7,8,10,12,29,29,29
GET,GET /api/exam-sheets,563,0,7,6.71926960401811,4.052378004416823,27.749437002057675,2254.314387211368,1.8829277317235573,0.0,7,7,7,7,8,8,10,13,28,28,28
GET,GET /api/exam-sheets (progress),419,0,7,6.683343503665738,4.364569002063945,20.291633998567704,2253.7780429594272,1.4013263225438197,0.0,7,7,7,7,8,9,10,12,20,20,20
GET,GET /api/exam-sheets (setup),50,0,14,15.900416580116143,4.102350998437032,90.54739400016842,2253.94,0.1672227115207422,0.0,14,17,19,21,29,42,91,91,91,91,91
GET,GET /api/exams,757,0,7,7.260993824112724,4.5009000023128465,40.20209900045302,818.0,2.531751852424037,0.0,7,8,8,8,9,10,11,13,40,40,40
GET,GET /api/exams (setup),50,0,19,24.8133104002045,5.1303939981153235,118.40013500477653,818.0,0.1672227115207422,0.0,20,22,25,26,45,98,120,120,120,120,120
GET,GET /api/exams/{id},739,0,5,5.18814713135472,3.180686995619908,13.716754998313263,271.3288227334235,2.4715516762765697,0.0,5,5,6,6,6,7,8,9,14,14,14
GET,GET /api/final-results,193,0,6,6.38369404661217,3.974038001615554,13.29812000039965,2958.0,0.6454796664700649,0.0,6,7,7,7,8,8,12,13,13,13,13
GET,GET /api/questions,559,0,7,7.346807169789,4.34020900138421,71.65045900183031,6742.2647584973165,1.869549914801898,0.0,7,7,8,8,9,10,12,18,72,72,72
GET,GET /api/questions (setup),50,0,15,14.387947680224897,4.393661998619791,36.886174995743204,6742.18,0.1672227115207422,0.0,15,18,19,22,27,29,37,37,37,37,37
GET,GET /api/questions (switch),218,0,7,7.13809072953855,4.325184003391769,20.38773499953095,6743.142201834862,0.729091022230436,0.0,7,7,8,8,9,10,12,15,20,20,20
GET,GET /api/student-responses,378,0,15,15.568419449900157,10.205767997831572,62.65760499809403,19878.349206349205,1.264203699096811,0.0,15,16,17,18,19,19,23,30,63,63,63
GET,GET /api/student-responses (load sheet),898,0,15,16.328878562336044,9.867613000096753,86.53891799622215,19878.586859688196,3.00331989891253,0.0,15,16,18,18,20,24,38,46,87,87,87
GET,GET /api/students,345,0,10,10.171053362495698,6.698990000586491,20.342042997071985,13022.0,1.1538367094931212,0.0,10,11,11,11,12,12,15,16,20,20,20
POST,POST /api/authenticate,50,0,1000.0,911.989230060426,221.32490999501897,1262.4847519982723,655.0,0.1672227115207422,0.0,1000,1100,1100,1200,1200,1200,1300,1300,1300,1300,1300
PUT,PUT /api/student-responses (grade),887,0,52,59.572711413682704,27.154889998200815,540.0437979988055,395.26268320180384,2.9665309023779667,0.0,52,58,65,70,85,100,130,160,540,540,540
,Aggregated,7075,0,7,21.725387314478283,3.180686995619908,1262.4847519982723,5708.294416961131,23.662013680185023,0.0,7,11,15,17,46,59,86,120,1200,1300,1300
