Method,Name,Error,Occurrences
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1543"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1387"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1570"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1428"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1548"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1446"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1386"",""stack"":""""}')",1
GET,GET /api/students,CatchResponseError('status 500'),16
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1451"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1514"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1501"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1404"",""stack"":""""}')",1
GET,GET /api/exam-sheets,CatchResponseError('status 500'),12
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1448"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1419"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1574"",""stack"":""""}')",1
GET,GET /api/exams/{id},CatchResponseError('status 500'),25
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1377"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1500"",""stack"":""""}')",1
PUT,PUT /api/student-responses (grade),"CatchResponseError('grade failed 500: {""details"":""Error id b504adc3-aeab-4a13-9aee-76773a2e7ac9-1571"",""stack"":""""}')",1
