Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/courses,378,0,8,9.323770108585931,4.336660000262782,82.25762500660494,883.0,0.6303569840315126,0.0,8,9,10,10,12,14,19,26,82,82,82
GET,GET /api/exam-sheets,214,0,10,11.291965341089929,5.445816001156345,72.34427699586377,2253.88785046729,0.35686876873741724,0.0,10,11,12,12,14,16,26,37,72,72,72
GET,GET /api/exam-sheets (progress),200,0,10,10.353238819152466,5.437416999484412,22.404209987143986,2254.075,0.3335222137732871,0.0,10,11,11,12,14,15,18,22,22,22,22
GET,GET /api/exam-sheets (setup),10,0,770.0,770.998684199003,762.674273995799,778.0379370087758,2253.4,0.016676110688664356,0.0,770,770,780,780,780,780,780,780,780,780,780
GET,GET /api/exams,296,0,10,10.52067197274851,6.248867997783236,18.875174995628186,818.0,0.49361287638446494,0.0,10,11,12,12,14,16,18,19,19,19,19
GET,GET /api/exams (setup),10,0,140.0,122.03208009595983,27.539238988538273,177.91302299883682,818.0,0.016676110688664356,0.0,150,160,170,170,180,180,180,180,180,180,180
GET,GET /api/exams/{id},322,0,7,7.865600928379315,3.9399670058628544,30.317215001559816,271.35403726708074,0.5369707641749922,0.0,7,8,8,9,10,13,14,17,30,30,30
GET,GET /api/final-results,79,0,9,9.652726430684634,5.860018005478196,23.044521993142553,2958.0,0.13174127444044842,0.0,9,10,11,11,13,14,20,23,23,23,23
GET,GET /api/questions,208,0,9,10.016194985347774,5.556572999921627,24.620081996545196,6742.591346153846,0.34686310232421863,0.0,9,10,11,11,13,15,18,18,25,25,25
GET,GET /api/questions (setup),10,0,60,70.12995880213566,47.298489997047,97.96018700581044,6740.8,0.016676110688664356,0.0,60,88,92,94,98,98,98,98,98,98,98
GET,GET /api/questions (switch),80,0,9,10.050047787626681,6.430287990951911,23.7105749984039,6744.825,0.13340888550931485,0.0,9,10,11,11,14,16,18,24,24,24,24
GET,GET /api/student-responses,132,0,20,20.702479606067453,11.761009998735972,109.20605699357111,19092.113636363636,0.22012466109036952,0.0,20,21,22,22,26,30,34,38,110,110,110
GET,GET /api/student-responses (load sheet),344,0,19,22.224729279112708,11.930182998185046,149.71589000197127,18980.468023255813,0.5736582076900538,0.0,19,21,22,24,27,33,60,100,150,150,150
GET,GET /api/students,148,0,13,14.354278783906233,8.12716200016439,108.2198139920365,13022.0,0.24680643819223247,0.0,13,14,15,15,17,20,25,30,110,110,110
POST,POST /api/authenticate,10,0,370.0,395.29482440120773,331.9422710046638,500.2194260014221,655.0,0.016676110688664356,0.0,380,410,430,480,500,500,500,500,500,500,500
PUT,PUT /api/student-responses (grade),332,0,52,57.09089954755008,29.61962900008075,186.88715899770614,396.2921686746988,0.5536468748636566,0.0,52,58,64,67,77,94,110,120,190,190,190
,Aggregated,2773,0,11,22.484491591608712,3.9399670058628544,778.0379370087758,5403.926794085828,4.624285493966626,0.0,11,15,18,21,48,60,90,140,780,780,780
